state,county,population,d_i,n_i,ia_totalApprovedIhp,fema_per_capita,num_disasters,disaster_list,x_i_maximin,y_i,pct_need_met,per_capita_alloc
PR,Sabana Grande,23498.0,6699502.850000001,285.10949229721683,2679801.14,114.04379691888671,1,[4339],0.0,0,0.0,0.0
PR,San German,32917.0,12036672.725,365.6673671659021,4814669.09,146.26694686636085,1,[4339],0.0,0,0.0,0.0
SC,Cherokee County,56974.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
TX,Austin County,29729.0,1722962.7,57.95562245618756,1206073.89,40.568935719331286,1,[4332],0.0,0,0.0,0.0
TX,Bastrop County,84624.0,1144866.442857143,13.52886229505983,801406.51,9.47020360654188,1,[4332],0.0,0,0.0,0.0
TX,Bee County,32598.0,1224189.3571428573,37.55412470528429,856932.55,26.287887293699,1,[4332],0.0,0,0.0,0.0
TX,Blanco County,11473.0,714.2857142857143,0.06225797213333168,500.0,0.043580580493332174,1,[4337],0.0,0,0.0,0.0
TX,Brazoria County,362261.0,107270550.9714286,296.11399231887674,75089385.68,207.27979462321366,1,[4332],0.0,0,0.0,0.0
TX,Burnet County,46592.0,0.0,0.0,0.0,0.0,1,[4337],0.0,0,,0.0
TX,Caldwell County,42302.0,423322.8000000001,10.007158053992722,296325.96,7.0050106377949035,1,[4332],0.0,0,0.0,0.0
TX,Calhoun County,21716.0,7039526.128571428,324.16311146488437,4927668.29,226.91417802541903,1,[4332],0.0,0,0.0,0.0
TX,Colorado County,21301.0,2386597.0142857144,112.04154801585439,1670617.91,78.42908361109806,1,[4332],0.0,0,0.0,0.0
TX,DeWitt County,20164.0,1105044.085714286,54.80282115226572,773530.8600000001,38.361974806586,1,[4332],0.0,0,0.0,0.0
TX,Fayette County,25110.0,7930911.985714287,315.8467537122376,5551638.390000001,221.09272759856634,1,[4332],0.0,0,0.0,0.0
TX,Fort Bend County,768258.0,139342422.8857143,181.37451596431706,97539696.02,126.96216117502193,1,[4332],0.0,0,0.0,0.0
TX,Goliad County,7559.0,985620.8285714284,130.39037287623077,689934.58,91.27326101336155,1,[4332],0.0,0,0.0,0.0
TX,Gonzales County,20743.0,430504.5571428572,20.754208993051012,301353.19,14.527946295135708,1,[4332],0.0,0,0.0,0.0
TX,Grimes County,27924.0,928138.8142857144,33.23803231219433,649697.17,23.26662261853603,1,[4332],0.0,0,0.0,0.0
TX,Harris County,4655798.0,1115168637.6714284,239.52255610561895,780618046.3699999,167.66578927393326,1,[4332],0.0,0,0.0,0.0
TX,Jackson County,14798.0,1024555.4285714286,69.23607437298477,717188.8,48.46525206108934,1,[4332],0.0,0,0.0,0.0
TX,Jasper County,35580.0,6635545.828571429,186.49651007789288,4644882.08,130.54755705452502,1,[4332],0.0,0,0.0,0.0
TX,Karnes County,15590.0,360708.5571428571,23.13717492898378,252495.99,16.196022450288645,1,[4332],0.0,0,0.0,0.0
TX,Kleberg County,30756.0,615123.6857142857,20.000119837244302,430586.58,14.00008388607101,1,[4332],0.0,0,0.0,0.0
TX,Lavaca County,20015.0,200756.11428571428,10.030283002034189,140529.28,7.021198101423932,1,[4332],0.0,0,0.0,0.0
TX,Lee County,17104.0,418666.3428571428,24.477686088467188,293066.43999999994,17.13438026192703,1,[4332],0.0,0,0.0,0.0
TX,Liberty County,83648.0,42928798.31428572,513.2077074680293,30050158.82,359.2453952276205,1,[4332],0.0,0,0.0,0.0
TX,Matagorda County,36848.0,8180307.214285715,222.00138987966008,5726215.05,155.40097291576205,1,[4332],0.0,0,0.0,0.0
TX,Montgomery County,571542.0,56708062.98571429,99.21941517108854,39695644.09,69.45359061976198,1,[4332],0.0,0,0.0,0.0
TX,Newton County,13909.0,5899247.4,424.1316701416349,4129473.18,296.89216909914444,1,[4332],0.0,0,0.0,0.0
TX,Nueces County,361328.0,26390172.61428571,73.03661109652646,18473120.83,51.12562776756852,1,[4332],0.0,0,0.0,0.0
TX,Polk County,48938.0,4525097.814285715,92.46593269618118,3167568.47,64.72615288732682,1,[4332],0.0,0,0.0,0.0
TX,Sabine County,10422.0,170100.94285714286,16.321333991282177,119070.66,11.424933793897525,1,[4332],0.0,0,0.0,0.0
TX,San Jacinto County,28233.0,11678522.657142855,413.6479530033243,8174965.859999999,289.55356710232707,1,[4332],0.0,0,0.0,0.0
TX,San Patricio County,67221.0,24569432.92857143,365.5023419552138,17198603.05,255.8516393686497,1,[4332],0.0,0,0.0,0.0
TX,Tyler County,21498.0,3208673.9285714286,149.2545319830416,2246071.75,104.47817238812912,1,[4332],0.0,0,0.0,0.0
TX,Victoria County,92011.0,18700162.12857143,203.2383315969985,13090113.489999998,142.26683211789893,1,[4332],0.0,0,0.0,0.0
TX,Walker County,72764.0,2407167.4857142856,33.08184659604043,1685017.24,23.1572926172283,1,[4332],0.0,0,0.0,0.0
TX,Waller County,51736.0,5801734.185714286,112.1411432216307,4061213.93,78.49880025514149,1,[4332],0.0,0,0.0,0.0
